 
 
 
 
        d########P  d########b        .######b          d#######  d##P      d##P
       d########P  d###########    d###########     .##########  d##P      d##P 
      ----        ----     ----  -----     ----   -----         ----      -- P  
     d########P  d####,,,####P ####.      .#### d###P          d############P   
    d########P  d#########P   ####       .###P ####.          d############P    
   d##P        d##P           ####     d####   ####.         d##P      d##P     
  d########P  d##P            ###########P     ##########P  d##P      d##P      
 d########P  d##P              d######P          #######P  d##P      d##P       
 
 The code was compiled with no compile time options
 
 Welcome to EPOCH2D version 4.8.3   (commit v4.8.3-0-g826628c-dirty)
 
 Code is running on 1 processing elements
 
 Specify output directory
 Processor subdivision is            1           1
 
 *** WARNING ***
 Unrecognised element "E" in input deck.
 Code will continue to run, but behaviour is undefined
 
 
 *** WARNING ***
 Unrecognised element "test" in input deck.
 Code will continue to run, but behaviour is undefined
 
 Initial conditions complete and valid. Attempting to load particles
 
 Equilibrium set up OK, running code
Time  0.179155325888E-15 and iteration           0 after  0:00:00:00.00
Time  0.358310651776E-14 and iteration          10 after  0:00:00:00.70
Time  0.716621303552E-14 and iteration          20 after  0:00:00:00.77
Time  0.107493195533E-13 and iteration          30 after  0:00:00:01.45
Time  0.143324260710E-13 and iteration          40 after  0:00:00:01.54
Time  0.179155325888E-13 and iteration          50 after  0:00:00:01.60
Time  0.214986391065E-13 and iteration          60 after  0:00:00:02.29
Time  0.250817456243E-13 and iteration          70 after  0:00:00:02.36
Time  0.286648521421E-13 and iteration          80 after  0:00:00:02.42
Time  0.322479586598E-13 and iteration          90 after  0:00:00:03.13
Time  0.358310651776E-13 and iteration         100 after  0:00:00:03.20
Time  0.394141716953E-13 and iteration         110 after  0:00:00:03.27
Time  0.429972782131E-13 and iteration         120 after  0:00:00:03.98
Time  0.465803847309E-13 and iteration         130 after  0:00:00:04.05
Time  0.501634912486E-13 and iteration         140 after  0:00:00:04.12
Time  0.537465977664E-13 and iteration         150 after  0:00:00:04.84
Time  0.573297042841E-13 and iteration         160 after  0:00:00:04.91
Time  0.609128108019E-13 and iteration         170 after  0:00:00:05.60
Time  0.644959173196E-13 and iteration         180 after  0:00:00:05.68
Time  0.680790238374E-13 and iteration         190 after  0:00:00:05.75
Time  0.716621303552E-13 and iteration         200 after  0:00:00:07.11
Time  0.752452368729E-13 and iteration         210 after  0:00:00:07.19
Time  0.788283433907E-13 and iteration         220 after  0:00:00:07.25
Time  0.824114499084E-13 and iteration         230 after  0:00:00:07.97
Time  0.859945564262E-13 and iteration         240 after  0:00:00:08.04
Time  0.895776629439E-13 and iteration         250 after  0:00:00:08.11
